Texto PlantUML, Etiqueta
"@startuml class Customer { - customerId: int - name: String - email: String + getCustomerId(): int + getName(): String + getEmail(): String } class Order { - orderId: int - totalAmount: double + getOrderId(): int + getTotalAmount(): double } class Product { - productId: int - name: String - price: double + getProductId(): int + getName(): String + getPrice(): double } Customer "1" -- "0..*" Order Order "1" -- "0..*" Product @enduml", GOODUMLTRUE,
"@startuml class Book { - isbn: String - title: String - author: String - pages: int + getIsbn(): String + getTitle(): String + getAuthor(): String + getPages(): int } class Library { - books: List<Book> + addBook(book: Book): void + removeBook(book: Book): void + findBook(isbn: String): Book } Book *-- Library @enduml", GOODUMLTRUE,
"@startuml class Bank { - name: String - address: String + getName(): String + getAddress(): String } class Account { - accountId: int - balance: double + getAccountId(): int + getBalance(): double } class Customer { - customerId: int - name: String - address: String + getCustomerId(): int + getName(): String + getAddress(): String } Bank "1" -- "0..*" Account Customer "1" -- "0..*" Account @enduml", GOODUMLTRUE,
"@startuml class Student { - studentId: int - name: String - major: String + getStudentId(): int + getName(): String + getMajor(): String } class Course { - courseId: int - name: String - description: String + getCourseId(): int + getName(): String + getDescription(): String } Student "1" -- "0..*" Course Course "1" -- "0..*" Student @enduml", GOODUMLTRUE,
"@startuml class Smartphone { - brand: String - model: String + getBrand(): String + getModel(): String } class Camera { - resolution: String + getResolution(): String } Smartphone *-- Camera @enduml", GOODUMLTRUE,
"@startuml class Employee { - id: int - name: String + getId(): int + getName(): String } class Department { - departmentId: int - name: String + getDepartmentId(): int + getName(): String } Employee "1" -- "0..*" Department @enduml", GOODUMLTRUE,
"@startuml class Teacher { - id: int - name: String - subject: String + getId(): int + getName(): String + getSubject(): String } class Course { - courseId: int - name: String + getCourseId(): int + getName(): String } Teacher "1" -- "0..*" Course @enduml", GOODUMLTRUE,
"@startuml class Game { - gameId: int - title: String - genre: String + getGameId(): int + getTitle(): String + getGenre(): String } class Player { - playerId: int - name: String - level: int + getPlayerId(): int + getName(): String + getLevel(): int } Game "1" -- "0..*" Player @enduml", GOODUMLTRUE,
"@startuml class Library { - libraryId: int - name: String + getLibraryId(): int + getName(): String } class Book { - bookId: int - title: String - author: String + getBookId(): int + getTitle(): String + getAuthor(): String } Library "1" -- "0..*" Book @enduml", GOODUMLTRUE,
"@startuml class Zoo { - zooId: int - name: String - location: String + getZooId(): int + getName(): String + getLocation(): String } class Animal { - animalId: int - species: String - age: int + getAnimalId(): int + getSpecies(): String + getAge(): int } Zoo "1" -- "0..*" Animal @enduml", GOODUMLTRUE,
"@startuml class Customer { - customerId: int - name: String + getCustomerId(): int + getName(): String } class Order { - orderId: int - totalAmount: double + getOrderId(): int + getTotalAmount(): double } class Product { - productId: int - name: String - price: double + getProductId(): int + getName(): String + getPrice(): double } Customer "1" -- "0..*" Order Order "1" -- "0..*" Product @enduml", GOODUMLTRUE,
"@startuml class School { - schoolId: int - name: String - location: String + getSchoolId(): int + getName(): String + getLocation(): String } class Teacher { - teacherId: int - name: String + getTeacherId(): int + getName(): String } class Student { - studentId: int - name: String + getStudentId(): int + getName(): String } School "1" -- "0..*" Teacher School "1" -- "0..*" Student @enduml", GOODUMLTRUE,
"@startuml class Hospital { - hospitalId: int - name: String - location: String + getHospitalId(): int + getName(): String + getLocation(): String } class Doctor { - doctorId: int - name: String + getDoctorId(): int + getName(): String } class Patient { - patientId: int - name: String + getPatientId(): int + getName(): String } Hospital "1" -- "0..*" Doctor Hospital "1" -- "0..*" Patient @enduml", GOODUMLTRUE,
"@startuml class Bank { - bankId: int - name: String - location: String + getBankId(): int + getName(): String + getLocation(): String } class Account { - accountId: int - balance: double + getAccountId(): int + getBalance(): double } class Customer { - customerId: int - name: String + getCustomerId(): int + getName(): String } Bank "1" -- "0..*" Account Bank "1" -- "0..*" Customer @enduml", GOODUMLTRUE,
"@startuml class Movie { - movieId: int - title: String - director: String + getMovieId(): int + getTitle(): String + getDirector(): String } class Actor { - actorId: int - name: String + getActorId(): int + getName(): String } Movie "1" -- "0..*" Actor @enduml", GOODUMLTRUE,
"@startuml class University { - universityId: int - name: String - location: String + getUniversityId(): int + getName(): String + getLocation(): String } class Professor { - professorId: int - name: String + getProfessorId(): int + getName(): String } class Student { - studentId: int - name: String + getStudentId(): int + getName(): String } University "1" -- "0..*" Professor University "1" -- "0..*" Student @enduml", GOODUMLTRUE,
"@startuml class Library { - libraryId: int - name: String - location: String + getLibraryId(): int + getName(): String + getLocation(): String } class Book { - bookId: int - title: String + getBookId(): int + getTitle(): String } class Author { - authorId: int - name: String + getAuthorId(): int + getName(): String } Library "1" -- "0..*" Book Book "1" -- "0..*" Author @enduml", GOODUMLTRUE,
"@startuml class Company { - companyId: int - name: String + getCompanyId(): int + getName(): String } class Employee { - employeeId: int - name: String + getEmployeeId(): int + getName(): String } Company "1" -- "0..*" Employee @enduml", GOODUMLTRUE,
"@startuml class Hospital { - hospitalId: int - name: String - location: String + getHospitalId(): int + getName(): String + getLocation(): String } class Doctor { - doctorId: int - name: String + getDoctorId(): int + getName(): String } class Patient { - patientId: int - name: String + getPatientId(): int + getName(): String } Hospital "1" -- "0..*" Doctor Hospital "1" -- "0..*" Patient @enduml", GOODUMLTRUE,
"@startuml class Bank { - bankId: int - name: String - location: String + getBankId(): int + getName(): String + getLocation(): String } class Account { - accountId: int - balance: double + getAccountId(): int + getBalance(): double } class Customer { - customerId: int - name: String + getCustomerId(): int + getName(): String } Bank "1" -- "0..*" Account Bank "1" -- "0..*" Customer @enduml", GOODUMLTRUE,
"@startuml class Movie { - movieId: int - title: String - director: String + getMovieId(): int + getTitle(): String + getDirector(): String } class Actor { - actorId: int - name: String + getActorId(): int + getName(): String } Movie "1" -- "0..*" Actor @enduml", GOODUMLTRUE,
"@startuml class University { - universityId: int - name: String - location: String + getUniversityId(): int + getName(): String + getLocation(): String } class Professor { - professorId: int - name: String + getProfessorId(): int + getName(): String } class Student { - studentId: int - name: String + getStudentId(): int + getName(): String } University "1" -- "0..*" Professor University "1" -- "0..*" Student @enduml", GOODUMLTRUE,
"@startuml class Library { - libraryId: int - name: String - location: String + getLibraryId(): int + getName(): String + getLocation(): String } class Book { - bookId: int - title: String + getBookId(): int + getTitle(): String } class Author { - authorId: int - name: String + getAuthorId(): int + getName(): String } Library "1" -- "0..*" Book Book "1" -- "0..*" Author @enduml", GOODUMLTRUE,
"@startuml class Company { - companyId: int - name: String + getCompanyId(): int + getName(): String } class Employee { - employeeId: int - name: String + getEmployeeId(): int + getName(): String } Company "1" -- "0..*" Employee @enduml", GOODUMLTRUE
"@startuml class CLASS1 { - attribute1: DataType + method1(): ReturnType } class CLASS2 { - attribute2: DataType + method2(): ReturnType } CLASS1 - CLASS2 @enduml", GOODUMLFALSE,
"@startuml abstract class Animal { - name: String + speak(): void } class Dog { - breed: String + wagTail(): void } class Cat { - color: String + purr(): void } Dog <|-- Cat @enduml", GOODUMLFALSE,
"@startuml interface Shape { + calculateArea(): double } class Circle { - radius: double + calculateArea(): double } class Rectangle { - width: double - height: double + calculateArea(): double } Circle <|-- Rectangle @enduml", GOODUMLFALSE,
"@startuml class Order { - orderId: int } class Customer { - customerId: int } class Item { - itemId: int } Order -- Customer Order -- Item @enduml", GOODUMLFALSE,
"@startuml class Product { - productId: int } class ShoppingCart { - items: List<Product> } Product --> ShoppingCart @enduml", GOODUMLFALSE,
"@startuml class Customer { - customerId: int } class Order { - orderId: int } Customer -- Order @enduml", GOODUMLFALSE,
"@startuml class Person { - name: String - age: int } class Address { - street: String - city: String - zipCode: String } Person -- Address @enduml", GOODUMLFALSE,
"@startuml class User { - username: String - password: String } class Database { + saveUser(user: User): void + getUser(username: String): User } User -- Database @enduml", GOODUMLFALSE,
"@startuml class Customer { - customerId: int } class Order { - orderId: int } class Product { - productId: int } Customer -- Order Order -- Product @enduml", GOODUMLFALSE,
"@startuml class Book { - isbn: String - title: String - author: String - pages: int } class Library { - books: List<Book> } Book -- Library @enduml", GOODUMLFALSE,
"@startuml class Bank { - name: String - address: String } class Account { - accountId: int - balance: double } class Customer { - customerId: int - name: String - address: String } Bank -- Account Bank -- Customer Account -- Customer @enduml", GOODUMLFALSE,
"@startuml class Student { - studentId: int - name: String - major: String } class Course { - courseId: int - name: String - description: String } Student -- Course @enduml", GOODUMLFALSE,
"@startuml class Smartphone { - brand: String - model: String } class Camera { - resolution: String } Smartphone -- Camera @enduml", GOODUMLFALSE,
"@startuml class Employee { - id: int - name: String } class Department { - departmentId: int - name: String } Employee -- Department @enduml", GOODUMLFALSE,
"@startuml class Teacher { - id: int - name: String - subject: String } class Course { - courseId: int - name: String } Teacher -- Course @enduml", GOODUMLFALSE,
"@startuml class Game { - gameId: int - title: String - genre: String } class Player { - playerId: int - name: String - level: int } Game -- Player @enduml", GOODUMLFALSE,
"@startuml class Library { - libraryId: int - name: String } class Book { - bookId: int - title: String - author: String } Library -- Book @enduml", GOODUMLFALSE,
"@startuml class Zoo { - zooId: int - name: String - location: String } class Animal { - animalId: int - species: String - age: int } Zoo -- Animal @enduml", GOODUMLFALSE,
"@startuml class Bank { - name: String } class Account { - accountId: int - balance: double } class Customer { - customerId: int - name: String } Bank -- Account Bank -- Customer @enduml", GOODUMLFALSE,
"@startuml class School { - name: String } class Student { - studentId: int - name: String } class Course { - courseId: int - name: String } School -- Student School -- Course Student -- Course @enduml", GOODUMLFALSE
"@startuml class CLASS1 { - attribute1: DataType + method1(): ReturnType } class CLASS2 { - attribute2: DataType + method2(): ReturnType } CLASS1 -- CLASS2 @enduml", GOODUMLFALSE,
"@startuml abstract class Animal { - name: String + speak(): void } class Dog { - breed: String + wagTail(): void } class Cat { - color: String + purr(): void } Cat <|-- Dog @enduml", GOODUMLFALSE,
"@startuml interface Shape { + calculateArea(): double } class Circle { - radius: double + calculateArea(): double } class Rectangle { - width: double - height: double + calculateArea(): double } Rectangle <|-- Circle @enduml", GOODUMLFALSE,
"@startuml class Order { - orderId: int } class Customer { - customerId: int } class Item { - itemId: int } Customer -- Order Item -- Order @enduml", GOODUMLFALSE,
"@startuml class Product { - productId: int } class ShoppingCart { - items: List<Product> } ShoppingCart -- Product @enduml", GOODUMLFALSE,
"@startuml class Customer { - customerId: int } class Order { - orderId: int } Order -- Customer @enduml", GOODUMLFALSE,
"@startuml class Person { - name: String - age: int } class Address { - street: String - city: String - zipCode: String } Address -- Person @enduml", GOODUMLFALSE,
"@startuml class User { - username: String - password: String } class Database { + saveUser(user: User): void + getUser(username: String): User } Database -- User @enduml", GOODUMLFALSE,
"@startuml class Customer { - customerId: int } class Order { - orderId: int } class Product { - productId: int } Order -- Customer Product -- Order @enduml", GOODUMLFALSE,
"@startuml class Book { - isbn: String - title: String - author: String - pages: int } class Library { - books: List<Book> } Library -- Book @enduml", GOODUMLFALSE,
"@startuml class Bank { - name: String - address: String } class Account { - accountId: int - balance: double } Bank -- Account @enduml", GOODUMLFALSE,
"@startuml class Student { - studentId: int - name: String - major: String } class Course { - courseId: int - name: String - description: String } Course -- Student @enduml", GOODUMLFALSE,
"@startuml class Smartphone { - brand: String - model: String } class Camera { - resolution: String } Camera -- Smartphone @enduml", GOODUMLFALSE,
"@startuml class Employee { - id: int - name: String } class Department { - departmentId: int - name: String } Department -- Employee @enduml", GOODUMLFALSE,
"@startuml class Teacher { - id: int - name: String - subject: String } class Course { - courseId: int - name: String } Course -- Teacher @enduml", GOODUMLFALSE,
"@startuml class Game { - gameId: int - title: String - genre: String } class Player { - playerId: int - name: String - level: int } Player -- Game @enduml", GOODUMLFALSE,
"@startuml class Library { - libraryId: int - name: String } class Book { - bookId: int - title: String - author: String } Book -- Library @enduml", GOODUMLFALSE,
"@startuml class Zoo { - zooId: int - name: String - location: String } class Animal { - animalId: int - species: String - age: int } Animal -- Zoo @enduml", GOODUMLFALSE,
"@startuml class Bank { - name: String } class Account { - accountId: int - balance: double } Account -- Bank @enduml", GOODUMLFALSE,
"@startuml class School { - name: String } class Student { - studentId: int - name: String } class Course { - courseId: int - name: String } Student -- School Course -- Student @enduml", GOODUMLFALSE
"@startuml class CLASS1 { - attribute1: DataType + method1(): ReturnType } class CLASS2 { - attribute2: DataType + method2(): ReturnType } CLASS1 -- CLASS2 @enduml", GOODUMLFALSE,
"@startuml abstract class Animal { - name: String + speak(): void } class Dog { - breed: String + wagTail(): void } class Cat { - color: String + purr(): void } Cat <|-- Dog @enduml", GOODUMLFALSE,
"@startuml interface Shape { + calculateArea(): double } class Circle { - radius: double + calculateArea(): double } class Rectangle { - width: double - height: double + calculateArea(): double } Rectangle <|-- Circle @enduml", GOODUMLFALSE,
"@startuml class Order { - orderId: int } class Customer { - customerId: int } class Item { - itemId: int } Customer -- Order Item -- Order @enduml", GOODUMLFALSE,
"@startuml class Product { - productId: int } class ShoppingCart { - items: List<Product> } ShoppingCart -- Product @enduml", GOODUMLFALSE,
"@startuml class Customer { - customerId: int } class Order { - orderId: int } Order -- Customer @enduml", GOODUMLFALSE,
"@startuml class Person { - name: String - age: int } class Address { - street: String - city: String - zipCode: String } Address -- Person @enduml", GOODUMLFALSE,
"@startuml class User { - username: String - password: String } class Database { + saveUser(user: User): void + getUser(username: String): User } Database -- User @enduml", GOODUMLFALSE,
"@startuml class Customer { - customerId: int } class Order { - orderId: int } class Product { - productId: int } Order -- Customer Product -- Order @enduml", GOODUMLFALSE,
"@startuml class Book { - isbn: String - title: String - author: String - pages: int } class Library { - books: List<Book> } Library -- Book @enduml", GOODUMLFALSE,
"@startuml class Bank { - name: String - address: String } class Account { - accountId: int - balance: double } Bank -- Account @enduml", GOODUMLFALSE,
"@startuml class Student { - studentId: int - name: String - major: String } class Course { - courseId: int - name: String - description: String } Course -- Student @enduml", GOODUMLFALSE,
"@startuml class Smartphone { - brand: String - model: String } class Camera { - resolution: String } Camera -- Smartphone @enduml", GOODUMLFALSE,
"@startuml class Employee { - id: int - name: String } class Department { - departmentId: int - name: String } Department -- Employee @enduml", GOODUMLFALSE,
"@startuml class Teacher { - id: int - name: String - subject: String } class Course { - courseId: int - name: String } Course -- Teacher @enduml", GOODUMLFALSE,
"@startuml class Game { - gameId: int - title: String - genre: String } class Player { - playerId: int - name: String - level: int } Player -- Game @enduml", GOODUMLFALSE,
"@startuml class Library { - libraryId: int - name: String } class Book { - bookId: int - title: String - author: String } Book -- Library @enduml", GOODUMLFALSE,
"@startuml class Zoo { - zooId: int - name: String - location: String } class Animal { - animalId: int - species: String - age: int } Animal -- Zoo @enduml", GOODUMLFALSE,
"@startuml class Bank { - name: String } class Account { - accountId: int - balance: double } Account -- Bank @enduml", GOODUMLFALSE,
"@startuml class School { - name: String } class Student { - studentId: int - name: String } class Course { - courseId: int - name: String } Student -- School Course -- Student @enduml", GOODUMLFALSE
"@startuml class CLASS1 { - attribute1: DataType + method1(): ReturnType } class CLASS2 { - attribute2: DataType + method2(): ReturnType } CLASS1 --> CLASS2 @enduml", GOODUMLFALSE,
"@startuml abstract class Animal { - name: String + speak(): void } class Dog { - breed: String + wagTail(): void } class Cat { - color: String + purr(): void } Dog <|.. Cat @enduml", GOODUMLFALSE,
"@startuml interface Shape { + calculateArea(): double } class Circle { - radius: double + calculateArea(): double } class Rectangle { - width: double - height: double + calculateArea(): double } Shape <|.. Rectangle @enduml", GOODUMLFALSE,
"@startuml class Order { - orderId: int } class Customer { - customerId: int } class Item { - itemId: int } Customer -- Item Order -- Item @enduml", GOODUMLFALSE,
"@startuml class Product { - productId: int } class ShoppingCart { - items: List<Product> } ShoppingCart -- Product @enduml", GOODUMLFALSE,
"@startuml class Customer { - customerId: int } class Order { - orderId: int } Order -- Customer -- Product @enduml", GOODUMLFALSE,
"@startuml class Person { - name: String - age: int } class Address { - street: String - city: String - zipCode: String } Address -- Person -- Order @enduml", GOODUMLFALSE,
"@startuml class User { - username: String - password: String } class Database { + saveUser(user: User): void + getUser(username: String): User } Database -- User -- Product @enduml", GOODUMLFALSE,
"@startuml class Customer { - customerId: int } class Order { - orderId: int } class Product { - productId: int } Order -- Customer -- Product -- User @enduml", GOODUMLFALSE,
"@startuml class Book { - isbn: String - title: String - author: String - pages: int } class Library { - books: List<Book> } Library -- Book -- Product @enduml", GOODUMLFALSE,
"@startuml class Bank { - name: String - address: String } class Account { - accountId: int - balance: double } Bank -- Account -- Library @enduml", GOODUMLFALSE,
"@startuml class Student { - studentId: int - name: String - major: String } class Course { - courseId: int - name: String - description: String } Course -- Student -- Library @enduml", GOODUMLFALSE,
"@startuml class Smartphone { - brand: String - model: String } class Camera { - resolution: String } Camera -- Smartphone -- Game @enduml", GOODUMLFALSE,
"@startuml class Employee { - id: int - name: String } class Department { - departmentId: int - name: String } Department -- Employee -- School @enduml", GOODUMLFALSE,
"@startuml class Teacher { - id: int - name: String - subject: String } class Course { - courseId: int - name: String } Course -- Teacher -- Bank @enduml", GOODUMLFALSE,
"@startuml class Game { - gameId: int - title: String - genre: String } class Player { - playerId: int - name: String - level: int } Player -- Game -- School @enduml", GOODUMLFALSE,
"@startuml class Library { - libraryId: int - name: String } class Book { - bookId: int - title: String - author: String } Book -- Library -- Zoo @enduml", GOODUMLFALSE,
"@startuml class Zoo { - zooId: int - name: String - location: String } class Animal { - animalId: int - species: String - age: int } Animal -- Zoo -- Bank @enduml", GOODUMLFALSE,
"@startuml class Bank { - name: String } class Account { - accountId: int - balance: double } Account -- Bank -- School @enduml", GOODUMLFALSE,
"@startuml class School { - name: String } class Student { - studentId: int - name: String } class Course { - courseId: int - name: String } Course -- Student -- School @enduml", GOODUMLFALSE
"@startuml class Customer { - customerId: int - name: String - email: String + getCustomerId(): int + getName(): String + getEmail(): String } class Order { - orderId: int - totalAmount: double + getOrderId(): int + getTotalAmount(): double } Customer \"1\" -- \"0..*\" Order @enduml", GOODUMLTRUE,
"@startuml class Product { - productId: int - name: String - price: double + getProductId(): int + getName(): String + getPrice(): double } class ShoppingCart { - items: List<Product> + addItem(item: Product): void + removeItem(item: Product): void + checkout(): void } Product \"1\" *-- \"0..*\" ShoppingCart @enduml", GOODUMLTRUE,
"@startuml interface Shape { + calculateArea(): double } class Circle { - radius: double + calculateArea(): double } class Rectangle { - width: double - height: double + calculateArea(): double } Shape <|.. Circle Shape <|.. Rectangle @enduml", GOODUMLTRUE,
"@startuml interface Printable { + print(): void } class Document { + print(): void } class Printer { + print(document: Printable): void } Document <|.. Printer @enduml", GOODUMLTRUE,
"@startuml class Car { - brand: String - model: String - year: int + getBrand(): String + getModel(): String + getYear(): int } class Engine { - type: String + getType(): String } Car \"1\" -- \"1\" Engine @enduml", GOODUMLTRUE,
"@startuml class Animal { - name: String + makeSound(): void } class Dog { - breed: String + wagTail(): void } class Cat { - color: String + purr(): void } Animal <|.. Dog Animal <|.. Cat @enduml", GOODUMLTRUE,
"@startuml class Employee { - id: int - name: String + getId(): int + getName(): String } class Department { - departmentId: int - name: String + getDepartmentId(): int + getName(): String } Employee \"1\" -- \"0..*\" Department @enduml", GOODUMLTRUE,
"@startuml class Teacher { - id: int - name: String - subject: String + getId(): int + getName(): String + getSubject(): String } class Course { - courseId: int - name: String + getCourseId(): int + getName(): String } Teacher \"1\" -- \"0..*\" Course @enduml", GOODUMLTRUE,
"@startuml class Game { - gameId: int - title: String - genre: String + getGameId(): int + getTitle(): String + getGenre(): String } class Player { - playerId: int - name: String - level: int + getPlayerId(): int + getName(): String + getLevel(): int } Game \"1\" -- \"0..*\" Player @enduml", GOODUMLTRUE,
"@startuml class Library { - libraryId: int - name: String + getLibraryId(): int + getName(): String } class Book { - bookId: int - title: String - author: String + getBookId(): int + getTitle(): String + getAuthor(): String } Library \"1\" -- \"0..*\" Book @enduml", GOODUMLTRUE,
"@startuml class Zoo { - zooId: int - name: String - location: String + getZooId(): int + getName(): String + getLocation(): String } class Animal { - animalId: int - species: String - age: int + getAnimalId(): int + getSpecies(): String + getAge(): int } Zoo \"1\" -- \"0..*\" Animal @enduml", GOODUMLTRUE,
"@startuml class Bank { - name: String - address: String + getName(): String + getAddress(): String } class Account { - accountId: int - balance: double + getAccountId(): int + getBalance(): double } class Customer { - customerId: int - name: String - address: String + getCustomerId(): int + getName(): String + getAddress(): String } Bank \"1\" -- \"0..*\" Account Bank \"1\" -- \"0..*\" Customer @enduml", GOODUMLTRUE,
"@startuml class Student { - studentId: int - name: String - major: String + getStudentId(): int + getName(): String + getMajor(): String } class Course { - courseId: int - name: String - description: String + getCourseId(): int + getName(): String + getDescription(): String } Student \"1\" -- \"0..*\" Course @enduml", GOODUMLTRUE,
"@startuml class Smartphone { - brand: String - model: String + getBrand(): String + getModel(): String } class Camera { - resolution: String + getResolution(): String } Smartphone \"1\" -- \"0..*\" Camera @enduml", GOODUMLTRUE,
"@startuml class Employee { - id: int - name: String + getId(): int + getName(): String } class Department { - departmentId: int - name: String + getDepartmentId(): int + getName(): String } Employee \"1\" -- \"0..*\" Department @enduml", GOODUMLTRUE,
"@startuml class Teacher { - id: int - name: String - subject: String + getId(): int + getName(): String + getSubject(): String } class Course { - courseId: int - name: String + getCourseId(): int + getName(): String } Teacher \"1\" -- \"0..*\" Course @enduml", GOODUMLTRUE,
"@startuml class Game { - gameId: int - title: String - genre: String + getGameId(): int + getTitle(): String + getGenre(): String } class Player { - playerId: int - name: String - level: int + getPlayerId(): int + getName(): String + getLevel(): int } Game \"1\" -- \"0..*\" Player @enduml", GOODUMLTRUE,
"@startuml class Library { - libraryId: int - name: String + getLibraryId(): int + getName(): String } class Book { - bookId: int - title: String - author: String + getBookId(): int + getTitle(): String + getAuthor(): String } Library \"1\" -- \"0..*\" Book @enduml", GOODUMLTRUE,
"@startuml class Zoo { - zooId: int - name: String - location: String + getZooId(): int + getName(): String + getLocation(): String } class Animal { - animalId: int - species: String - age: int + getAnimalId(): int + getSpecies(): String + getAge(): int } Zoo \"1\" -- \"0..*\" Animal @enduml", GOODUMLTRUE,
"@startuml class Bank { - name: String - address: String + getName(): String + getAddress(): String } class Account { - accountId: int - balance: double + getAccountId(): int + getBalance(): double } class Customer { - customerId: int - name: String - address: String + getCustomerId(): int + getName(): String + getAddress(): String } Bank \"1\" -- \"0..*\" Account Bank \"1\" -- \"0..*\" Customer @enduml", GOODUMLTRUE
"@startuml class Person { - id: int - name: String + getId(): int + getName(): String } class Address { - street: String - city: String - zipCode: String + getStreet(): String + getCity(): String + getZipCode(): String } Person \"1\" -- \"1\" Address @enduml", GOODUMLTRUE,
"@startuml class Employee { - employeeId: int - name: String - position: String + getEmployeeId(): int + getName(): String + getPosition(): String } class Department { - departmentId: int - name: String + getDepartmentId(): int + getName(): String } Employee \"1\" -- \"0..1\" Department @enduml", GOODUMLTRUE,
"@startuml class Course { - courseId: int - name: String + getCourseId(): int + getName(): String } class Student { - studentId: int - name: String + getStudentId(): int + getName(): String } Course \"1\" -- \"0..*\" Student @enduml", GOODUMLTRUE,
"@startuml class Author { - authorId: int - name: String + getAuthorId(): int + getName(): String } class Book { - bookId: int - title: String + getBookId(): int + getTitle(): String } Author \"1\" -- \"0..*\" Book @enduml", GOODUMLTRUE,
"@startuml class Company { - companyId: int - name: String + getCompanyId(): int + getName(): String } class Employee { - employeeId: int - name: String + getEmployeeId(): int + getName(): String } Company \"1\" -- \"0..*\" Employee @enduml", GOODUMLTRUE,
"@startuml class Product { - productId: int - name: String - price: double + getProductId(): int + getName(): String + getPrice(): double } class Order { - orderId: int - totalAmount: double + getOrderId(): int + getTotalAmount(): double } Product \"1\" -- \"0..*\" Order @enduml", GOODUMLTRUE,
"@startuml class University { - universityId: int - name: String + getUniversityId(): int + getName(): String } class Professor { - professorId: int - name: String + getProfessorId(): int + getName(): String } University \"1\" -- \"0..*\" Professor @enduml", GOODUMLTRUE,
"@startuml class Library { - libraryId: int - name: String + getLibraryId(): int + getName(): String } class Book { - bookId: int - title: String + getBookId(): int + getTitle(): String } Library \"1\" -- \"0..*\" Book @enduml", GOODUMLTRUE,
"@startuml class School { - schoolId: int - name: String + getSchoolId(): int + getName(): String } class Student { - studentId: int - name: String + getStudentId(): int + getName(): String } School \"1\" -- \"0..*\" Student @enduml", GOODUMLTRUE,
"@startuml class Organization { - orgId: int - name: String + getOrgId(): int + getName(): String } class Employee { - empId: int - name: String + getEmpId(): int + getName(): String } Organization \"1\" -- \"0..*\" Employee @enduml", GOODUMLTRUE,
"@startuml class Product { - productId: int - name: String - price: double + getProductId(): int + getName(): String + getPrice(): double } class ShoppingCart { - items: List<Product> + addItem(item: Product): void + removeItem(item: Product): void + checkout(): void } Product \"1\" *-- \"0..*\" ShoppingCart @enduml", GOODUMLTRUE,
"@startuml class Person { - id: int - name: String + getId(): int + getName(): String } class Address { - street: String - city: String - zipCode: String + getStreet(): String + getCity(): String + getZipCode(): String } Person \"1\" -- \"0..1\" Address @enduml", GOODUMLTRUE,
"@startuml class Employee { - employeeId: int - name: String - position: String + getEmployeeId(): int + getName(): String + getPosition(): String } class Department { - departmentId: int - name: String + getDepartmentId(): int + getName(): String } Employee \"1\" -- \"0..1\" Department @enduml", GOODUMLTRUE,
"@startuml class Course { - courseId: int - name: String + getCourseId(): int + getName(): String } class Student { - studentId: int - name: String + getStudentId(): int + getName(): String } Course \"1\" -- \"0..*\" Student @enduml", GOODUMLTRUE,
"@startuml class Author { - authorId: int - name: String + getAuthorId(): int + getName(): String } class Book { - bookId: int - title: String + getBookId(): int + getTitle(): String } Author \"1\" -- \"0..*\" Book @enduml", GOODUMLTRUE,
